DATE,CUSR0000SETC
2003-03-01,107.900
2003-04-01,107.700
2003-05-01,107.800
2003-06-01,107.700
2003-07-01,107.600
2003-08-01,107.900
2003-09-01,107.700
2003-10-01,107.900
2003-11-01,107.900
2003-12-01,107.700
2004-01-01,108.000
2004-02-01,108.000
2004-03-01,107.800
2004-04-01,107.900
2004-05-01,107.900
2004-06-01,108.200
2004-07-01,108.800
2004-08-01,109.000
2004-09-01,109.300
2004-10-01,109.500
2004-11-01,109.900
2004-12-01,109.900
2005-01-01,110.600
2005-02-01,110.900
2005-03-01,110.900
2005-04-01,110.800
2005-05-01,111.000
2005-06-01,111.200
2005-07-01,111.900
2005-08-01,112.400
2005-09-01,112.700
2005-10-01,113.000
2005-11-01,113.600
2005-12-01,114.000
2006-01-01,114.400
2006-02-01,114.900
2006-03-01,115.400
2006-04-01,115.800
2006-05-01,117.000
2006-06-01,117.000
2006-07-01,117.900
2006-08-01,118.200
2006-09-01,118.700
2006-10-01,118.900
2006-11-01,119.500
2006-12-01,119.500
2007-01-01,119.759
2007-02-01,120.196
2007-03-01,120.485
2007-04-01,120.714
2007-05-01,120.990
2007-06-01,120.885
2007-07-01,121.514
2007-08-01,121.730
2007-09-01,122.292
2007-10-01,123.017
2007-11-01,123.487
2007-12-01,123.928
2008-01-01,124.282
2008-02-01,125.225
2008-03-01,126.325
2008-04-01,126.049
2008-05-01,126.824
2008-06-01,127.824
2008-07-01,129.118
2008-08-01,130.327
2008-09-01,131.048
2008-10-01,131.917
2008-11-01,132.947
2008-12-01,133.077
2009-01-01,133.414
2009-02-01,134.108
2009-03-01,134.484
2009-04-01,134.640
2009-05-01,134.347
2009-06-01,134.270
2009-07-01,133.729
2009-08-01,133.531
2009-09-01,133.406
2009-10-01,133.650
2009-11-01,134.234
2009-12-01,134.781
2010-01-01,135.277
2010-02-01,135.649
2010-03-01,135.523
2010-04-01,135.701
2010-05-01,136.135
2010-06-01,136.686
2010-07-01,137.236
2010-08-01,137.646
2010-09-01,137.802
2010-10-01,138.289
2010-11-01,138.768
2010-12-01,139.223
2011-01-01,140.487
2011-02-01,140.912
2011-03-01,140.686
2011-04-01,141.590
2011-05-01,143.328
2011-06-01,144.618
2011-07-01,144.960
2011-08-01,145.537
2011-09-01,145.646
2011-10-01,145.308
2011-11-01,146.338
2011-12-01,147.499
2012-01-01,148.126
2012-02-01,148.230
2012-03-01,148.298
2012-04-01,148.327
2012-05-01,148.540
2012-06-01,148.542
2012-07-01,149.048
2012-08-01,148.854
2012-09-01,148.798
2012-10-01,148.683
2012-11-01,148.509
2012-12-01,148.761
2013-01-01,147.931
2013-02-01,147.659
2013-03-01,147.916
2013-04-01,147.220
2013-05-01,146.763
2013-06-01,146.384
2013-07-01,146.141
2013-08-01,145.673
2013-09-01,145.379
2013-10-01,145.246
2013-11-01,145.088
2013-12-01,145.664
2014-01-01,145.438
2014-02-01,145.204
2014-03-01,145.136
2014-04-01,145.325
2014-05-01,144.995
2014-06-01,144.558
2014-07-01,144.710
2014-08-01,144.878
2014-09-01,144.472
2014-10-01,144.376
2014-11-01,144.091
2014-12-01,144.693
2015-01-01,144.913
2015-02-01,145.140
2015-03-01,144.504
2015-04-01,144.281
2015-05-01,144.581
2015-06-01,143.880
2015-07-01,143.823
2015-08-01,143.793
2015-09-01,144.496
2015-10-01,143.209
2015-11-01,143.967
2015-12-01,144.245
2016-01-01,144.784
2016-02-01,144.617
2016-03-01,144.179
2016-04-01,144.612
2016-05-01,143.694
2016-06-01,143.822
2016-07-01,142.932
2016-08-01,143.676
2016-09-01,142.739
2016-10-01,143.017
2016-11-01,141.855
2016-12-01,142.735
2017-01-01,142.993
2017-02-01,143.256
2017-03-01,143.797
2017-04-01,143.915
2017-05-01,143.302
2017-06-01,143.432
2017-07-01,143.592
2017-08-01,143.368
2017-09-01,143.165
2017-10-01,142.213
2017-11-01,141.474
2017-12-01,141.979
2018-01-01,142.562
2018-02-01,142.807
2018-03-01,143.254
2018-04-01,142.847
2018-05-01,143.655
2018-06-01,143.813
2018-07-01,143.763
2018-08-01,143.927
2018-09-01,143.731
2018-10-01,143.990
2018-11-01,144.493
2018-12-01,145.105
2019-01-01,145.591
2019-02-01,145.466
2019-03-01,145.823
2019-04-01,145.555
2019-05-01,146.445
2019-06-01,146.554
2019-07-01,145.808
2019-08-01,146.368
2019-09-01,147.314
2019-10-01,146.957
2019-11-01,147.608
2019-12-01,147.757
2020-01-01,148.335
2020-02-01,148.457
2020-03-01,148.190
2020-04-01,147.403
2020-05-01,148.642
2020-06-01,147.643
2020-07-01,148.123
2020-08-01,148.096
2020-09-01,148.193
2020-10-01,147.723
2020-11-01,147.439
2020-12-01,148.363
2021-01-01,149.198
2021-02-01,149.324
