DATE,AMVPNO
2015-11-01,54335.0
2015-12-01,53153.0
2016-01-01,53652.0
2016-02-01,54564.0
2016-03-01,52993.0
2016-04-01,53276.0
2016-05-01,52147.0
2016-06-01,52687.0
2016-07-01,52958.0
2016-08-01,53573.0
2016-09-01,53536.0
2016-10-01,52846.0
2016-11-01,53119.0
2016-12-01,53887.0
2017-01-01,54822.0
2017-02-01,53844.0
2017-03-01,53651.0
2017-04-01,53056.0
2017-05-01,54878.0
2017-06-01,54189.0
2017-07-01,52585.0
2017-08-01,54303.0
2017-09-01,54161.0
2017-10-01,55193.0
2017-11-01,55763.0
2017-12-01,54897.0
2018-01-01,55555.0
2018-02-01,56533.0
2018-03-01,56486.0
2018-04-01,57892.0
2018-05-01,54369.0
2018-06-01,56646.0
2018-07-01,58922.0
2018-08-01,58644.0
2018-09-01,59769.0
2018-10-01,60405.0
2018-11-01,60424.0
2018-12-01,61177.0
2019-01-01,61126.0
2019-02-01,60667.0
2019-03-01,61627.0
2019-04-01,58755.0
2019-05-01,59183.0
2019-06-01,61163.0
2019-07-01,61114.0
2019-08-01,60158.0
2019-09-01,59281.0
2019-10-01,57744.0
2019-11-01,58563.0
2019-12-01,58661.0
2020-01-01,58575.0
2020-02-01,59397.0
2020-03-01,47796.0
2020-04-01,22057.0
2020-05-01,28385.0
2020-06-01,52624.0
2020-07-01,64040.0
2020-08-01,61432
2020-09-01,62106
2020-10-01,60601
2020-11-01,62319
2020-12-01,63669
2021-01-01,63174
